time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
2.775000,-0.388471,-1.207686,1.603843,-1.105765,1.305188,-0.686549,-0.160237,0.106825,-0.053412,0.080119,-0.072107,-0.186943,1.355852,-0.903901,0.451951,-0.677926,0.610133,1.581827
2.800000,-0.392062,-1.205292,1.602646,-1.103969,1.303572,-0.690739,-0.127445,0.084964,-0.042482,0.063723,-0.057350,-0.148686,1.264148,-0.842765,0.421383,-0.632074,0.568867,1.474840
2.825000,-0.394864,-1.203424,1.601712,-1.102568,1.302311,-0.694008,-0.097200,0.064800,-0.032400,0.048600,-0.043740,-0.113400,1.152000,-0.768000,0.384000,-0.576000,0.518400,1.344000
2.850000,-0.396947,-1.202035,1.601018,-1.101526,1.301374,-0.696439,-0.070023,0.046682,-0.023341,0.035012,-0.031510,-0.081694,1.018519,-0.679012,0.339506,-0.509259,0.458333,1.188272
2.875000,-0.398395,-1.201070,1.600535,-1.100802,1.300722,-0.698128,-0.046459,0.030973,-0.015486,0.023230,-0.020907,-0.054202,0.862815,-0.575210,0.287605,-0.431407,0.388267,1.006617
2.900000,-0.399305,-1.200463,1.600232,-1.100347,1.300313,-0.699189,-0.027075,0.018050,-0.009025,0.013537,-0.012184,-0.031588,0.684000,-0.456000,0.228000,-0.342000,0.307800,0.798000
2.925000,-0.399789,-1.200141,1.600070,-1.100106,1.300095,-0.699754,-0.012459,0.008306,-0.004153,0.006230,-0.005607,-0.014536,0.481185,-0.320790,0.160395,-0.240593,0.216533,0.561383
2.950000,-0.399973,-1.200018,1.600009,-1.100014,1.300012,-0.699968,-0.003223,0.002149,-0.001074,0.001612,-0.001450,-0.003760,0.253481,-0.168988,0.084494,-0.126741,0.114067,0.295728
2.950000,-0.400000,-1.200000,1.600000,-1.100000,1.300000,-0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.975000,-0.399950,-1.199995,1.599982,-1.100014,1.299986,-0.699941,0.005909,0.000537,-0.002149,-0.001612,-0.001612,0.006983,0.464716,0.042247,-0.168988,-0.126741,-0.126741,0.549210
3.000000,-0.399613,-1.199965,1.599859,-1.100106,1.299894,-0.699542,0.022842,0.002077,-0.008306,-0.006230,-0.006230,0.026995,0.882173,0.080198,-0.320790,-0.240593,-0.240593,1.042568
3.025000,-0.398726,-1.199884,1.599537,-1.100347,1.299653,-0.698494,0.049637,0.004512,-0.018050,-0.013537,-0.013538,0.058662,1.254000,0.114000,-0.456000,-0.342000,-0.342000,1.482000
3.050000,-0.397058,-1.199733,1.598930,-1.100802,1.299198,-0.696523,0.085175,0.007743,-0.030973,-0.023230,-0.023230,0.100662,1.581827,0.143802,-0.575210,-0.431407,-0.431407,1.869432
3.075000,-0.394403,-1.199491,1.597965,-1.101526,1.298474,-0.693386,0.128376,0.011671,-0.046682,-0.035012,-0.035012,0.151717,1.867284,0.169753,-0.679012,-0.509259,-0.509259,2.206790
3.100000,-0.390584,-1.199144,1.596576,-1.102568,1.297432,-0.688872,0.178200,0.016200,-0.064800,-0.048600,-0.048600,0.210600,2.112000,0.192000,-0.768000,-0.576000,-0.576000,2.496000
3.125000,-0.385447,-1.198677,1.594708,-1.103969,1.296031,-0.682801,0.233650,0.021241,-0.084964,-0.063723,-0.063723,0.276132,2.317605,0.210691,-0.842765,-0.632074,-0.632074,2.738988
3.150000,-0.378863,-1.198078,1.592314,-1.105765,1.294235,-0.675019,0.293768,0.026706,-0.106825,-0.080119,-0.080119,0.347180,2.485728,0.225975,-0.903901,-0.677926,-0.677926,2.937679
